#	THĂNG
$	ĐỒNG
BELJAEV	BÊ LIA ÉP
BELL	BEO
BELLAMY	BEN LA MY
BELLINNI	BÊ LI NI
BELLINSGAUZEN	BÊ LIN SỜ GAO GIEN
BELLOW	BÊ LÂU
BELLS	BEO
BELLUCCI	BÊ LU SI
BELMOPAN	BEN MÔ BAN
BELO	BÊ LU
BELOMORSK	BÊ LÔ MOÓC XỜ CƠ
BELTRAMI	BEN TRA MI
BELUKHA	BÊ LU KHA
BELUSCONI	BÊ LÚT CÔ NI
BELYJ	BÊ LƯ I
BEMEN	BÊ MEN
BENABEU	BE NA BÔ
BENARDOS	BÊ NÁC ĐÓT
BENAVENTE	BÊ NA VEN TÊ
BENAZI	BE NA DI
BENEDICT	BÊ NI ĐÍCH
BENGAL	BEN GAN
BENGALE	BEN GAN
BENGUELA	BEN GHÊ LA
BENI	BÊ NI
BENITEZ	BE NI TÉT
BENJAMIN	BEN GIA MIN
BENT	BEN
BENTHAM	BEN THAM
BENTLEY	BEN LY
BENTON	BEN TƠN
BENUA	BÊ NUA
BENVENISTE	BEN VÊ NÍT
BENZ	BEN
BEOGRAD	BÊ Ô GỜ RÁT
BERANGER	BÊ RAN GƠ
BERBATOV	BƠ BA TỐP
BERDJANSK	BÉC GIAN XỜ CƠ
BEREZINA	BÊ RÊ GI NA
BERG	BÉC GỜ
BERGAMO	BÉC GA MÔ
BERGEN	BÉC GHEN
BERGERAC	BÉC GIƠ RẮC
BERGIUS	BÉC GHI ÚT
BERGKAMP	BÉT KHĂM
BERGSON	BÉC XƠN
BERING	BÊ RINH
BERKELEY	BE CƠ LY
BERLE	BƠ LI
BERLIN	BÉT LIN
BERLIOZ	BÉC LI Ô GIƠ
BERLUSCONI	BE LÚT CU NI
BERMUDA	BÉC MU ĐA
BERNABEU	BE NA BÂU
BERNARD	BÉC NÁT
BERNE	BƠN
BERNINI	BÉC NI NI
BERNOULLI	BÉC NU LI
BERNSTEIN	BÉC NƠ XỜ TÊ IN
BERQUE	BÉC CƠ
BERRY	BE RY
BERTHELOT	BÉC TƠ LÓT
BERTOIA	BÉC TÔI A
BERTOLUCCI	BÉC TÔ LU CHI
BERTON	BÉC TÔNG
BERTRAND	BÉC TRĂNG
BERZELIUS	BÉC XÊ LI ÚT
BESIKTAS	BÊ XÍT TÁT
BESSARABIJA	BÉT SA RA BI A
BESSEMER	BÉT SEM MƠ
BESSMERNYH	BÉT MƠ NI
BESSMERTNOVA	BÉT MÉC NÔ VA
BEST	BÉT
BETHE	BÊ THƠ
BETI	BÊ TI
BETIO	BÊ TI Ô
BETIS	BE TÍT
BETTI	BÉT TI
BETTINA	BÉT TI NA
BETTY	BÉT TY
BEUVE	BƠ VƠ
BEVEREDGE	BI VƠ RÍT
BEVERLY	BE VƠ LY
BEYONCE	BÌ DON
BEYROUTH	BÂY RÚT
BEZACIER	BÊ GIA XI Ơ
BEZOUT	BÊ GIU
BGD	BỘ GIÁO DỤC
BGĐ	BAN GIÁM ĐỐC
BGH	BAN GIÁM HIỆU
BGK	BAN GIÁM KHẢO
BGTVT	BỘ GIAO THÔNG VẬN TẢI
BHAKTAPUR	BỜ HÁC TA BUA
BHAUNAGAR	BỜ HAU NA GA
BHAVABHUTI	BỜ HA VA BỜ HU TI
BHGĐ	BẠO HÀNH GIA ĐÌNH
BHHS	BẢO HIỂM HỌC SINH
BHL	BAN HUẤN LUYỆN
BHLĐ	BẢO HỘ LAO ĐỘNG
BHMMTT	BỘ HÒA MẠNG MỚI TRẢ TRƯỚC
BHNN	BẢO HIỂM NÔNG NGHIỆP
BHNT	BẢO HIỂM NHÂN THỌ
BHR	BÁN HÀNG RONG
BHS	BÀN HỌC SINH
BHTG	BẢO HIỂM TIỀN GỞI
BHTN	BẢO HIỂM THẤT NGHIỆP
BHTT	BÁN HÀNG TRỰC TIẾP
BHTY	BÀI HÁT TÔI YÊU
BHUTAN	BU TAN
BHUTTO	HÚT TÔ
BHV	BÀI HÁT VIỆT
BHVN	BẢO HIỂM VIỆT NAM
BHX	BÔNG HỒNG XANH
BHXH	BẢO HIỂM XÃ HỘI
BHXHTN	BẢO HIỂM XÃ HỘI TỰ NGUYỆN
BHXHVN	BẢO HIỂM XÃ HỘI VIỆT NAM
BHYT	BẢO HIỂM Y TẾ
BHYTTD	BẢO HIỂM Y TẾ TOÀN DÂN
BHYTTN	BẢO HIỂM Y TẾ TỰ NGUYỆN
BIAN	BI AN
BIARRITZ	BI A RÍT
BIBICA	BI BI CA
BIDAULT	BI ĐÔ
BIERMER	BI MƠ
BIG	BÍT
BIGC	BÍCH XI
BIHAR	BI HA
BIJA	BI GIA
BIKINI	BI CI NI
BIKINIBEU	BI KÊ NI BÊ U
BILBAO	BIN BAO
BILL	BIU
BILLBOAD	BIU BOA
BILLBOARD	BIU BOA
BINET	BI NÉT
BINGA	BIN GA
BIOGAS	BI Ô GA
BIOT	BI ỐT
BIRKHOFF	BƠ KHÔ PHƠ
BIRKIRKARA	BỚC KIA KA RA
BIRMINGHAM	BƠ MING HAM
BISCAY	BÍT CAY
BISHKEK	BÍT SỜ KẾCH
BISHOP	BI SỐP
BISKUPIN	BÍT CU BIN
BISMARCK	BÍT MÁC
BISSAU	BÍT XAO
BIT	BÍT
BITEXCO	BI TÁCH CÔ
BITOLA	BI TÔ LA
BIZANTINE	BI GIĂNG TIN
BIZET	BI GIÉT
BK	BÁN KẾT
BKH	BỘ KẾ HOẠCH
BKHCN	BỘ KHOA HỌC CÔNG NGHỆ
BKHĐT	BỘ KẾ HOẠCH ĐẦU TƯ
BKHN	BÁCH KHOA HÀ NỘI
BKL	BAN KỈ LUẬT
BKS	BAN KIỂM SOÁT
BKT	BAN KỈ THUẬT
BKVN	BÁCH KHOA VIỆT NAM
BL	BỘ LUẬT
BLACK	LẮC
BLACKBURN	LẮC BƠN
BLACKETT	BỜ LÁCH KÉT
BLACKTON	BỜ LÁCH TƠN
BLAGOEV	BỜ LA GÔ ÉP
BLAGOVESHCHENSK	BỜ LA GÔ VÉT SEN XỜ CƠ
BLAIR	BỜ LE
BLAKE	BỜ LẾCH
BLALOCK	BỜ LA LÓC
BLANC	BỜ LĂNG
BLANKENBURG	BỜ LAN KEN BỚT
BLANQUI	BỜ LĂNG KI
BLASCO	BỜ LÁT CÔ
BLATTER	LÁT TƠ
BLAVATSKAJA	BỜ LA VÁT CAI A
BLĐ	BỘ LAO ĐỘNG
BLĐMNV	BỆNH LÝ ĐỘNG MẠCH NGOẠI VI
BLDS	BỘ LUẬT DÂN SỰ
BLĐTB	BỘ LAO ĐỘNG THƯƠNG BINH
BLĐTBXH	BỘ LAO ĐỘNG THƯƠNG BINH XÃ HỘI
BLGĐ	BẠO LỰC GIA ĐÌNH
BLHS	BỘ LUẬT HÌNH SỰ
BLL	BAN LIÊN LẠC
BLLĐ	BỘ LUẬT LAO ĐỘNG
BLOCK	LÓC
BLOEMBERGEN	BỜ LUM BÉC GHEN
BLOEMFONTEIN	BỜ LUM PHƠN TÊN
BLOG	BỜ LỐC
BLOGGER	LỐC GƠ
BLOIS	BỜ LOA
BLOK	BỜ LỐC
BLOMMESTEIN	BỜ LÔM MÉT TÊN
BLONDEL	BỜ LÔNG ĐEN
BLONSKIJ	BỜ LÔN XỜ KI
BLOOMBEG	LUM BỚT
BLOOMBERG	LUM BỚT
BLOOMFIELD	BỜ LUM PHIU
BLTGĐ	BẠO LỰC TRONG GIA ĐÌNH
BLTL	BUÔN LẬU THUỐC LÁ
BLTTHS	BỘ LUẬT TỐ TỤNG HÌNH SỰ
BLUE	BỜ LU
BLUES	BỜ LU
BLUETOOTH	LU TÚT
BLUM	BỜ LUM
BLV	BÌNH LUẬN VIÊN
BLX	BẰNG LÁI XE
BMSL	BOM MÌN SÓT LẠI
BMTE	BÀ MẸ TRẺ EM
BMTK	BỘ MÁY TÌM KIẾM
BMVNAH	BÀ MẸ VIỆT NAM ANH HÙNG
BMX	BÔ MÔN XE
BNG	BỘ NGOẠI GIAO
BNN	BỘ NÔNG NGHIỆP
BNSR	BỆNH NHÂN SỐT RÉT
BNV	BỘ NỘI VỤ
BOB	BỐP
BOBBY	BỐP BI
BOBO	BÔ BÔ
BOCA	BO CA
BOCCACCIO	BỐC CÁC CHI Ô
BOCCHERINI	BỐC KÊ RI NI
BOCCIONI	BỐC CHI Ô NI
BOCHAROV	BÔ CHA RỐP
BOCHUM	BÔ KHƠ UM
BOD	BỐP
BODEAUX	BỌT ĐÔ
BODEN	BÔ ĐEN
BODENSEE	BÔ ĐEN XÊ
BODIN	BÔ ĐIN
BODONI	BÔ ĐÔ NI
BODRUM	BÔ ĐỜ RUM
BODY	BO ĐỲ
BOEING	BÔ ING
BOGARDUS	BÔ GA ĐỚT
BOGDANOV	BỐC ĐA NỐP
BOGOMOLEC	BÔ GÔ MÔ LÉT
BOGOR	BÔ GÔ
BOHR	BO
BOILEAU	BOI LÔ
BOISBAUDRAN	BOA BÔ ĐỜ RĂNG
BOISGUILBERT	BOA GHIN BỚT
BOITO	BOI TÔ
BOJER	BÔ GIƠ
BOLIVAR	BÔ LI VA
BOLIVIA	BÔ LI VI A
BOLKIAH	BÔN KI ÁT
BOLLAERT	BÔ LA ỚT
BOLOGNA	BÔ LÔ NHA
BOLOGNE	BÔ LÔ NHƠ
BOLOVEN	BÔ LÔ VEN
BOLSHEVICH	BÔN SÊ VÍCH
BOLTON	BON TƠN
BOLTZMANN	BÔN XƠ MAN
BOLYAI	BÔ LI AI
BOMBAY	BÔM BAY
BOMMEL	BOM MEO
BONAIRE	BÔ NE
BONANZA	BÔ NAN GIA
BONAPARTE	BÔ NA BÁC
BOND	BON
BONDARCHUK	BÔN ĐA CHÚC
BONDAREV	BÔN ĐA RÉP
BONDONE	BÔN ĐÔ NÊ
BONESANA	BÔ NÉT SA NA
BONGOR	BON GÔ
BONIFACIO	BÔ NI PHA XI Ô
BONNARD	BON NÁT
BONNET	BON NÉT
BONO	BÔ NÔ
BONRIKI	BON RI KI
BOOK	BÚT
BOOLE	BUN
BORAT	BÔ RÁT
BORDA	BOÓC ĐA
BORDEAUX	BỌT ĐÔ
BOREL	BÔ REN
BORGLUM	BOÓC GỜ LUM
BORGO	BOÓC GÔ
BORIS	BÔ RÍT
BORISKOVSKIJ	BÔ RÍT CỐP XỜ KI
BORISOV	BÔ RI XỐP
BORLAUG	BÔ LAO
BORN	BON
BORNEO	BOÓC NÊ Ô
BORNHOLM	BON HOM
BORO	BO RÔ
BOROBUDUR	BÔ RÔ BU ĐUA
BORODIN	BÔ RÔ ĐIN
BORODINO	BÔ RÔ ĐI NÔ
BOROMA	BÔ RÔ MA
BORON	BÔ RÔNG
BOROWSKI	BÔ RỐP XỜ KI
BORUSSIA	BÔ RÚT SA
BOSCHE	BÔ SƠ
BOSE	BÔ GIỜ
BOSIO	BÔ SI Ô
BOSNIA	BÓT NHA
BOSNIAN	BÓT NI A
BOSPHORE	BÓT PHO
BOSTON	BÓT TÂN
BOSWASH	BÓT QUÁT
BOTEV	BÔ TÉP
BOTHA	BÔ THA
BOTKIN	BÓT KIN
BOTNIE	BÓT NI
BOTSWANA	BÓT XOA NA
BOTTA	BÓT TA
BOTTICELLI	BÓT TI XÊ LI
BOTTNISKA	BÓT NI XỜ CA
BOUAR	BU A
BOUCHET	BU SÊ
BOUDON	BU ĐÔNG
BOUGAINVILLE	BU GANH VIN
BOUGUER	BU GHÊ
BOULDER	BUN ĐƠ
BOULEZ	BU LÊ GIƠ
BOUPHAVANH	BU PHA VANH
BOURBAKI	BUỐC BA KI
BOURBON	BUỐC BÔN
BOURDELLE	BUỐC ĐEN
BOURDIEU	BUỐC ĐI Ơ
BOURGOGNE	BUỐC GÔ NHƠ
BOURGUIGNON	BUỐC GHI NHÔNG
BOURNONVILLE	BUA NÔNG VIN
BOUTROS	BU TRỐT
BOVERI	BÔ VE RI
BOWEN	BÔ QUEN
BOWLING	BÔ LING
BOXING	BỐC XING
BOYI	BOI I
BOYLE	BOI
BOYS	BÔI
BOZ	BÔ GIƠ
BPCK	BIÊN PHÒNG CỬA KHẨU
BQBĐ	BẢN QUYỀN BÓNG ĐÁ
BQĐ	BAO QUI ĐẦU
BQL	BAN QUẢN LÝ
BQLC	BAN QUẢN LÝ CHỢ
BQLDA	BAN QUẢN LÝ DỰ ÁN
BQLDACTCC	BAN QUẢN LÝ DỰ ÁN CÔNG TRÌNH CÔNG CỘNG
BQLDATĐ	BAN QUẢN LÝ DỰ ÁN THỦY ĐIỆN
BQLDATL	BAN QUẢN LÝ DỰ ÁN THUỶ LỢI
BQLDL	BAN QUẢN LÝ DU LỊCH
BQLKCNC	BAN QUẢN LÝ KHU CÔNG NGHỆ CAO
BQLKCX	BAN QUẢN LÝ KHU CHẾ XUẤT
BQLKDL	BAN QUẢN LÝ KHU DU LỊCH
BQLR	BAN QUẢN LÝ RỪNG
BQLRĐD	BAN QUẢN LÝ RỪNG ĐẶC DỤNG
BQLRPH	BAN QUẢN LÝ RỪNG PHÒNG HỘ
BQLRPHĐN	BAN QUẢN LÝ RỪNG PHÒNG HỘ ĐẦU NGUỒN
BQLSC	BAN QUẢN LÝ SUỐI CÁ
BQP	BỘ QUỐC PHÒNG
BQPM	BẢN QUYỀN PHẦN MỀM
BQT	BAN QUẢN TRỊ
BQTG	BẢN QUYỀN TÁC GIẢ
BQTH	BẢN QUYỀN TRUYỀN HÌNH
BRABANT	BỜ RA BAN
BRAD	RÉT
BRADFORD	BỜ RÁT PHỚT
BRADLEY	RÉT LY
BRAGG	BỜ RA GƠ
BRAHMA	BỜ RA MA
BRAHMAN	BỜ RA MAN
BRAHMAPUTRA	BỜ RA MA BU TRA
BRAHMS	BỜ RAM XƠ
BRAILLE	BỜ RAI
BRAMANTE	BỜ RA MAN TÊ
BRAN	BỜ RAN
BRANDENBURG	RĂNG ĐEN BUỐT
BRANDON	REN ĐÂN
BRANGELINA	REN GÊ LI NA
BRANTAS	BỜ RAN TÁT
BRAQUE	BỜ RA CƠ
BRATISLAVA	BỜ RA TÍT LA VA
BRATTAIN	BỜ RÁT TEN
BRAUDEL	BỜ RAO ĐEN
BRAUNAU	BỜ RAO NAO
BRAVAIS	BỜ RA VAY
BRAXIN	BỜ RA XIN
BRAZIL	BỜ RA XIN
BRAZILLIAN	BỜ RA GIN LI AN
BRAZZAVILLE	BỜ RA GIA VIN
BRDĐ	BĂNG RỘNG DI ĐỘNG
BREAK	BỜ RẾC
BRECHT	BỜ RẾCH
BREMEN	BỜ RE MEN
BREMLE	BỜ REM LƠ
BRESCIA	RÉT XI A
BRESDIN	BỜ RÉT ĐIN
BRESSON	BỜ RÉT XƠN
BREST	BỜ RÉT
BRETAGNE	BỜ RƠ TA NHƠ
BRETON	BỜ RƠ TÔNG
BREUER	BỜ RÊU Ơ
BREUIL	BỜ RƠI
BREZHNEV	BỜ RÊ GIƠ NÉP
BRIAN	ROAI ÂN
BRIAND	BỜ RI ĂNG
BRIDGE	RÍT
BRIDGMAN	BỜ RÍT MƠN
BRIGGS	BỜ RI GIƠ
BRIGHTMAN	BỜ RAI MEN
BRIHASPATI	BỜ RI HA XỜ BA TI
BRILLOUIN	BỜ RI LO IN
BRIMSTONE	BỜ RIM XỜ TƠN
BRISBANE	BỜ RÍT BÂN
BRISSOT	BỜ RÍT XỐT
BRISTOL	RÍT TÔN
BRIT	RÍT
BRITANNICUS	BỜ RI TAN NI CÚT
BRITISH	RÍT TÍT
BRITNEY	RÍT NY
BRITTEN	BỜ RÍT TƠN
BRJULLOV	BỜ RIU LỐP
BRNO	BỜ RƠ NÔ
BROAD	BỜ RÓT
BROADWAY	RỐT QUAY
BROCA	BỜ RÔ CA
BRODSKIJ	BỜ RÓT XỜ KI
BROGLIE	BỜ RÓC LI
BROKEBACK	RỐC BẮC
BROMLEJ	BỜ ROM LÂY
BROMWER	BỜ ROM QUƠ
BROOKLYN	RÚT LIN
BROOM	BỜ RUM
BROS	RỐT
BROTHER	BỜ RA ĐƠ
BROUWER	BỜ RAO QUƠ
BROWN	BỜ RAO
BROWNING	BỜ RAO NINH
BRU	BỜ RU
BRUCE	RÚT
BRUCKNER	BỜ RÚC NƠ
BRUEGEL	BỜ RU Ê GHEN
BRUGGE	BỜ RÚC GƠ
BRUGMANN	BỜ RÚC MAN
BRUHL	BỜ RUYN
BRUNAUER	BỜ RU NAU Ơ
BRUNEI	RU NY
BRUNET	BỜ RU NÉT
BRUNETE	BỜ RU NÊ TÊ
BRUNO	RU NÔ
BRUSSELS	RÚT SEN
BRUTUS	BỜ RU TÚT
BRVN	BÓNG RỔ VIỆT NAM
BRVT	BÀ RỊA VŨNG TÀU
BRYAN	RAI ÂN
BRYEN	BỜ RI ĂNG
BS	BÁC SĨ
BSGĐ	BÁC SĨ GIA ĐÌNH
BST	BỘ SƯU TẬP
BTBG	BẤT TĂNG BẤT GIẢM
BTBNN	BẢO TRỢ BỆNH NHÂN NGHÈO
BTC	BỘ TÀI CHÍNH
BTCCBCP	BAN TỔ CHỨC CÁN BỘ CHÍNH PHỦ
BTCN	BẢNG TRA CHỮ NÔM
BTCT	BÊ TÔNG CỐT THÉP
BTĐ	BÌNH TRƯNG ĐÔNG
BTĐKCP	BẢO TÀNG ĐIÊU KHẮC CHĂM PA
BTDT	BẢO TÀNG DÂN TỘC
BTDTCĐ	BẢO TỒN DI TÍCH CỐ ĐÔ
BTĐUK	BÍ THƯ ĐẢNG ỦY KHỐI
BTGĐ	BAN TỔNG GIÁM ĐỐC
BTGPMB	BỒI THƯỜNG GIẢI PHÓNG MẶT BẰNG
BTK	BAN THƯ KÝ
BTL	BỘ TƯ LỆNH
BTLSQG	BẢO TÀNG LỊCH SỬ QUỐC GIA
BTLSTN	BẢO TÀNG LỊCH SỬ TỰ NHIÊN
BTM	BỘ THƯƠNG MẠI
BTNMT	BỘ TÀI NGUYÊN MÔI TRƯỜNG
BTP	BỘ TƯ PHÁP
BTQĐ	BẢO TÀNG QUÂN ĐỘI
BTTEVN	BẢO TRỢ TRẺ EM VIỆT NAM
BTTH	BỒI THƯỜNG THIỆT HẠI
BTTHPT	BỔ TÚC TRUNG HỌC PHỔ THÔNG
BTTN	BẢO TỒN THIÊN NHIÊN
BTTNVN	BẢO TÀNG THIÊN NHIÊN VIỆT NAM
BTTP	BỔ TRỢ TƯ PHÁP
BTTT	BẢO TÀNG TUỔI TRẺ
BTTU	BÍ THƯ THÀNH UỶ
BTV	BIÊN TẬP VIÊN
BTVC	BÀN TRÒN VĂN CHƯƠNG
BTVH	BỔ TÚC VĂN HOÁ
BTX	BÙI THỊ XUÂN
BTXH	BẢO TRỢ XÃ HỘI
BUALA	BU A LA
BUBNOV	BÚP NỐP
BUCHANAN	BIU CA NƠN
BUCHAREST	BU CHA RÉT
BUCHENWALD	BU KHEN VAN
BUCHNER	BÚC NƠ
BUCKINGHAM	BẤC CING HAM
BUDA	BU ĐA
BUDAPEST	BA ĐA BÉT
BUENOS	BU Ê NÓT
BUFFALO	BÚP PHA LÔ
BUFFET	BÚP PHÊ
BUFFIER	BÚP PHI Ơ
BUFFON	BÚP PHONG
BUG	BẤC
BUILDING	BIU ĐING
BUJUMBURA	BU GIUM BU RA
BUKHARA	BU KHA RA
BUKHARIN	BU KHA RIN
BUKHTARMA	BÚC TA MA
BUKIT	BU KÍT
BUKOVINA	BU CÔ VI NA
BULAWAYO	BU LA QUÂY Ô
BULGAKOV	BUN GA CỐP
BULGARI	BUN GA RI
BULGARIA	BUN GA RY
BULGARY	BUN GA RY
BULL	BUN
BUNDESLIGA	BUN ĐÉT LI GA
BUNDY	BÂN ĐI
BUNGARI	BUN GA RI
BUNI	BU NI
BUNIN	BU NIN
BUNJAKOVSKIJ	BUN GIA KỐP XỜ KI
BUNO	BU NÔ
BUNSEN	BUN XEN
BURCHETT	BƠ CHÉT
BUREJA	BU RÂY A
BURGAS	BƠ GÁT
BURLITOBE	BƠ LI TÔ BÊ
BURLY	BƠ LI
BURNE	BƠN
BURNHAM	BƠN HEM
BURSA	BƠ XA
BURUNDI	BU RUN ĐI
BURURI	BU RU RI
BURYLDAJTAL	BU RƯN ĐAI TAN
BUS	BUÝT
BUSAN	BU SAN
BUSH	BÚT
BUSHMEN	BU SƠ MEN
BUSONI	BU SÔ NI
BUTARE	BU TA RÊ
BUTENANDT	BU TƠ NAN
BUTIABA	BU TI A BA
BUTLEROV	BÚT LÊ RỐP
BUTOR	BUY TO
BV	BỆNH VIỆN
BVBĐ	BỆNH VIỆN BƯU ĐIỆN
BVBM	BỆNH VIỆN BẠCH MAI
BVBMTE	BẢO VỆ BÀ MẸ TRẺ EM
BVCCTV	BỆNH VIỆN CẤP CỨU TRƯNG VƯƠNG
BVCR	BỆNH VIỆN CHỢ RẪY
BVCSTE	BẢO VỆ CHĂM SÓC TRẺ EM
BVĐ	BAN VẬN ĐỘNG
BVĐHYD	BỆNH VIỆN ĐẠI HỌC Y DƯỢC
BVĐK	BỆNH VIỆN ĐA KHOA
BVĐKBĐ	BỆNH VIỆN ĐA KHOA BÌNH ĐỊNH
BVĐKBN	BỆNH VIỆN ĐA KHOA BẮC NINH
BVĐKHB	BỆNH VIỆN ĐA KHOA HOÀ BÌNH
BVĐKHY	BỆNH VIỆN ĐA KHOA HƯNG YÊN
BVĐKT	BỆNH VIỆN ĐA KHOA TỈNH
BVĐKTB	BỆNH VIỆN ĐA KHOA THÁI BÌNH
BVĐKTƯ	BỆNH VIỆN ĐA KHOA TRUNG ƯƠNG
BVH	BỘ VĂN HOÁ
BVHTT	BỘ VĂN HÓA THÔNG TIN
BVKV	BỆNH VIỆN KHU VỰC
BVKVTH	BỆNH VIỆN KHU VỰC TRIỆU HẢI
BVLĐ	BẢO VỆ LAO ĐỘNG
BVM	BỆNH VIỆN MẮT
BVMP	BỆNH VIỆN MIỄN PHÍ
BVMT	BẢO VỆ MÔI TRƯỜNG
BVMTVN	BẢO VỆ MÔI TRƯỜNG VIỆT NAM
BVNĐ	BỆNH VIỆN NHI ĐỒNG
BVNLTS	BẢO VỆ NGUỒN LỢI THỦY SẢN
BVNTD	BẢO VỆ NGƯỜI TIÊU DÙNG
BVNTDVN	BẢO VỆ NGƯỜI TIÊU DÙNG VIỆT NAM
BVPL	BẢO VỆ PHÁP LUẬT
BVPSQTSG	BỆNH VIỆN PHỤ SẢN QUỐC TẾ SÀI GÒN
BVQLNTD	BẢO VỆ QUYỀN LỢI NGƯỜI TIÊU DÙNG
BVQS	BẢO VỆ QUÂN SỰ
BVT	BÀN VI TÍNH
BVTMHH	BỆNH VIỆN TRUYỀN MÁU HUYẾT HỌC
BVTNMT	BẢO VỆ THIÊN NHIÊN MÔI TRƯỜNG
BVTƯ	BỆNH VIỆN TRUNG ƯƠNG
BVTV	BẢO VỆ THỰC VẬT
BVTVAG	BẢO VỆ THỰC VẬT AN GIANG
BVTVSG	BẢO VỆ THỰC VẬT SÀI GÒN
BVVP	BỆNH VIỆN VIỆT PHÁP
BVYHCTHN	BỆNH VIỆN Y HỌC CỔ TRUYỀN HÀ NỘI
BX	BẾN XE
BXCL	BẾN XE CHỢ LỚN
BXD	BỘ XÂY DỰNG
BXĐT	BỨC XẠ ĐIỆN TỪ
BXH	BẢNG XẾP HẠNG
BXL	BỘ XỬ LÝ
BXMĐ	BẾN XE MIỀN ĐÔNG
BXMT	BẾN XE MIỀN TÂY
BYBLOS	BI BỜ LỐT
BYRON	BAI RƠN
BYRRANGA	BI RAN GA
BYSTRICA	BI XỜ TRI CA
BYT	BỘ Y TẾ
BYZANCE	BI GIAN XƠ
BYZANTINE	BI GIAN TIN
C	XÊ
CABET	CA BÉT
CADILLAC	CA ĐI LẮC
CADIX	CA ĐÍCH
CAFE	CÀ PHÊ
CAFFEINE	CA PHÊ IN
CAFU	CA PHU
CAGLIARI	CÁT LI A RI
CAHN	CÔNG AN HÀ NỘI
CAHP	CÔNG AN HẢI PHÒNG
CAIRO	CAI RÔ
CAIUS	CAI ÚT
CAKH	CÔNG AN KHÁNH HÒA
CAL	CA LO
CALAIS	CA LÂY
CALAPAN	CA LA BAN
CALCIO	CAN SI Ô
CALCUTTA	CAN CÚT TA
CALDAS	CAN ĐÁT
CALDER	CAN ĐƠ
CALDWELL	CAN QUEO
CALEDONIAN	CA LÊ ĐO NI AN
CALI	CA LI
CALIFONIA	CA LI PHO NHA
CALIFORNIA	CA LI PHO NHA
CALIGARI	CA LI GA RI
CALISTO	CA LÍT TÔ
CALLAO	CA LAO
CALLIAO	CA LI AO
CALLIOPE	CA LI ỐP
CALMETTE	CAN MÉT
CALOOCAN	CA LÔ Ô CAN
CALORIE	CA LO RI
CALVIN	CAN VIN
CAMARGO	CA MÁC GÔ
CAMBAY	CAM BAY
CAMBIASSO	CAM BI A SÔ
CAMBIDGE	KHEM RÍT
CAMBRIDGE	KHEM RÍT
CAMBYSE	CAM BAY SỜ
CAMEA	CA ME RA
CAMERA	CA MÊ RA
CAMERON	CA ME RON
CAMEROON	CA ME RUN
CAMEROUN	CA MƠ RUN
CAMILLA	CA MI LA
CAMORANESI	CA MÔ RA NÊ SI
CAMPANELLA	CAM BA NEN LA
CAMPANIA	CAM PA NI A
CAMPBELL	KHEM BEO
CAMPUCHIA	CAM BU CHIA
CAMRY	KHEM RY
CAMUS	CA MÚT
CANADA	CA NA ĐA
CANARIA	CA NA RI A
CANARIAS	CA NÊ RI ÁT
CANAVERAL	CA NA VƠ RAN
CANBERRA	CAN BƠ RƠ
CAND	CÔNG AN NHÂN DÂN
CANDIA	CAN ĐI A
CANDOLLE	CĂNG ĐÔN
CANNAVAO	CAN NA VA RÔ
CANNAVARO	CAN NA VA RÔ
CANNES	KEN
CANNIZZARO	CAN NI GIA RÔ
CANTABRICA	CAN TA BỜ RI CA
CANTAL	CAN TAN
CANTERBURY	CAN TƠ BƠ RI
CANTONA	CAN TÔ NA
CANTOR	CAN TO
CAP	CÁP
CAPARRA	CA BA RA
CAPĐV	CÔNG AN PHƯỜNG ĐÔNG VỆ
CAPE	KÉP
CAPELLO	CA BE LÔ
CAPET	CA BÉT
CAPIERNE	CA BI ÉC NÊ
CAPITAL	KHE BI TÔ
CAPRAROLA	CA PHỜ RA RÔ LA
CAPRI	CA PHỜ RI
CAPSLOCK	CÁP LỐC
CARACAS	CA RA CÁT
CARAVAGGIO	CA RA VA GIÔ
CARBONNIER	CÁC BON NI Ơ
CARD	CẠT
CARDAMOMES	CÁC ĐA MÔM
CARDANO	CÁC ĐA NÔ
CARDIFF	CÁC ĐÍP
CARDOZA	CÁC ĐÔ GIA
CARDUCCI	CÁC ĐU CHI
CAREY	KHE RI
CARIBBEAN	CA RI BÊ
CARIBE	CA RI BÊ
CARICK	KHA RÍT
CARL	CÁC LƠ
CARLO	CA LÔ
CARLOS	CÁT LỐT
CARLYLE	CÁC LAY
CARNAP	CÁC NÁP
CARNAVAL	CÁC NA VAN
CARNOT	CA NỐT
CAROLINA	CA RÔ LI NA
CAROLINE	CA RÔ LIN
CAROLINES	CA RÔ LIN
CAROLINGIENS	CA RÔ LIN GIEN
CAROTEN	CA RÔ TEN
CARPEAUX	CÁC BÔ
CARPENTARIA	CÁC BEN TA RI A
CARPENTIER	CA BEN CHI Ê
CARRACCI	CA RÁC CHI
CARRAGHER	CA RA GƠ
CARRANTUOHILL	CA RAN TU Ô HIN
CARREFOUR	CA RƠ PHUA
CARRIACOU	CA RI A CU
CARRICK	KHE RÍCH
CARROLL	CA RÔN
CARROUSEL	CA RU XEN
CARSTENS	CÁC XỜ TEN
CARTAGENA	CÁC TA HE NA
CARTAL	CÁC TAN
CARTER	CA TƠ
CARTHAGE	CÁC TA GIƠ
CARTIER	CÁC CHI Ê
CARTON	CẠC TÔNG
CARUSO	CA RU XÔ
